Curah_Hujan, Ketinggian_Sungai, Kelembaban_Tanah, Risiko_Banjir
10, 2.5, 30, 10
20, 3.0, 40, 20
30, 3.5, 50, 30
40, 4.0, 60, 40
50, 4.5, 70, 50
60, 5.0, 80, 60
70, 5.5, 90, 70
80, 6.0, 95, 80
90, 6.5, 100, 90
100, 7.0, 100, 100
15, 2.7, 35, 15
25, 3.2, 45, 25
35, 3.7, 55, 35
45, 4.2, 65, 45
55, 4.7, 75, 55
65, 5.2, 85, 65
75, 5.7, 90, 75
85, 6.2, 95, 85
95, 6.7, 100, 95
5, 2.0, 25, 5
12, 2.3, 32, 12
22, 2.8, 42, 22
32, 3.3, 52, 32
42, 3.8, 62, 42
52, 4.3, 72, 52
62, 4.8, 82, 62
72, 5.3, 92, 72
82, 5.8, 95, 82
92, 6.3, 100, 92
102, 6.8, 100, 100
8, 2.1, 28, 8
18, 2.6, 38, 18
28, 3.1, 48, 28
38, 3.6, 58, 38
48, 4.1, 68, 48
58, 4.6, 78, 58
68, 5.1, 88, 68
78, 5.6, 95, 78
88, 6.1, 98, 88
98, 6.6, 100, 98
3, 1.8, 20, 3
13, 2.4, 34, 13
23, 2.9, 44, 23
33, 3.4, 54, 33
43, 3.9, 64, 43
53, 4.4, 74, 53
63, 4.9, 84, 63
73, 5.4, 94, 73
83, 5.9, 97, 83
93, 6.4, 99, 93
6, 2.2, 27, 6
16, 2.5, 37, 16
26, 3.0, 47, 26
36, 3.5, 57, 36
46, 4.0, 67, 46
56, 4.5, 77, 56
66, 5.0, 87, 66
76, 5.5, 95, 76
86, 6.0, 96, 86
96, 6.5, 98, 96
4, 1.9, 24, 4
14, 2.6, 36, 14
24, 3.1, 46, 24
34, 3.6, 56, 34
44, 4.1, 66, 44
54, 4.6, 76, 54
64, 5.1, 86, 64
74, 5.6, 93, 74
84, 6.1, 96, 84
94, 6.6, 99, 94
7, 2.3, 29, 7
17, 2.8, 39, 17
27, 3.3, 49, 27
37, 3.8, 59, 37
47, 4.3, 69, 47
57, 4.8, 79, 57
67, 5.3, 89, 67
77, 5.8, 95, 77
87, 6.3, 97, 87
97, 6.8, 99, 97
2, 1.7, 18, 2
11, 2.2, 31, 11
21, 2.7, 41, 21
31, 3.2, 51, 31
41, 3.7, 61, 41
51, 4.2, 71, 51
61, 4.7, 81, 61
71, 5.2, 91, 71
81, 5.7, 95, 81
91, 6.2, 97, 91
101, 6.7, 100, 101
9, 2.4, 33, 9
19, 2.9, 43, 19
29, 3.4, 53, 29
39, 3.9, 63, 39
49, 4.4, 73, 49
59, 4.9, 83, 59
69, 5.4, 93, 69
79, 5.9, 95, 79
89, 6.4, 97, 89
99, 6.9, 99, 99
4, 1.9, 22, 4
14, 2.5, 34, 14
24, 3.0, 44, 24
34, 3.5, 54, 34
44, 4.0, 64, 44
54, 4.5, 74, 54
64, 5.0, 84, 64
74, 5.5, 94, 74
84, 6.0, 96, 84
94, 6.5, 98, 94
5, 2.2, 26, 5
15, 2.6, 36, 15
25, 3.1, 46, 25
35, 3.6, 56, 35
45, 4.1, 66, 45
55, 4.6, 76, 55
65, 5.1, 86, 65
75, 5.6, 94, 75
85, 6.1, 96, 85
95, 6.6, 98, 95
